"Origin Location Country Name","Propagative Material type","Compliance"
"Denmark","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Denmark","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Denmark","Rooted Cutting (including air layer)","Low compliance"
"Denmark","Rooted Plant (including grafted)","Poor compliance"
"Denmark","Unrooted Cutting","Medium compliance"
"Denmark","Unrooted Plant","Medium compliance"
"Dominican Republic","Budwood/Graftwood (scion)","Low compliance"
"Dominican Republic","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Dominican Republic","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Dominican Republic","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Dominican Republic","Rooted Cutting (including air layer)","Medium compliance"
"Dominican Republic","Rooted Plant (including grafted)","Medium compliance"
"Dominican Republic","Unrooted Cutting","Medium compliance"
"Dominican Republic","Unrooted Plant","Medium compliance"
"Ecuador","Budwood/Graftwood (scion)","High compliance"
"Ecuador","Bulb, Corm, Rhizome, Tuberous Stem","Poor compliance"
"Ecuador","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Ecuador","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Ecuador","Rooted Cutting (including air layer)","High compliance"
"Ecuador","Rooted Plant (including grafted)","High compliance"
"Ecuador","Unrooted Cutting","High compliance"
"Ecuador","Unrooted Plant","Medium compliance"
"El Salvador","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"El Salvador","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"El Salvador","Rooted Cutting (including air layer)","Low compliance"
"El Salvador","Rooted Plant (including grafted)","Medium compliance"
"El Salvador","Unrooted Cutting","Medium compliance"
"El Salvador","Unrooted Plant","Medium compliance"
"Estonia","Rooted Plant (including grafted)","Medium compliance"
"Estonia","Unrooted Cutting","Medium compliance"
"Ethiopia","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Ethiopia","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Ethiopia","Rooted Cutting (including air layer)","Medium compliance"
"Ethiopia","Rooted Plant (including grafted)","Medium compliance"
"Ethiopia","Unrooted Cutting","Medium compliance"
"Ethiopia","Unrooted Plant","Poor compliance"
"Faeroe Islands","Unrooted Cutting","Medium compliance"
"Finland","Unrooted Plant","Medium compliance"
"France","Budwood/Graftwood (scion)","Poor compliance"
"France","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"France","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"France","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"France","Rooted Cutting (including air layer)","Low compliance"
"France","Rooted Plant (including grafted)","Medium compliance"
"France","Unrooted Cutting","Medium compliance"
"France","Unrooted Plant","Medium compliance"
"Gabon","Unrooted Cutting","Medium compliance"
"Georgia","Budwood/Graftwood (scion)","Medium compliance"
"Georgia","Rooted Plant (including grafted)","Medium compliance"
"Georgia","Unrooted Cutting","Medium compliance"
"Germany","Budwood/Graftwood (scion)","Poor compliance"
"Germany","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Germany","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Germany","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Germany","Rooted Cutting (including air layer)","Low compliance"
"Germany","Rooted Plant (including grafted)","Medium compliance"
"Germany","Unrooted Cutting","Medium compliance"
"Germany","Unrooted Plant","Low compliance"
"Ghana","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Ghana","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Ghana","Unrooted Cutting","Medium compliance"
"Greece","Budwood/Graftwood (scion)","Medium compliance"
"Greece","Rooted Plant (including grafted)","Medium compliance"
"Greece","Unrooted Cutting","Medium compliance"
"Greece","Unrooted Plant","Medium compliance"
"Guadeloupe","Unrooted Plant","Medium compliance"
"Guam","Unrooted Cutting","Medium compliance"
"Guatemala","Budwood/Graftwood (scion)","Low compliance"
"Guatemala","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Guatemala","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Guatemala","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Guatemala","Rooted Cutting (including air layer)","Medium compliance"
"Guatemala","Rooted Plant (including grafted)","Medium compliance"
"Guatemala","Unrooted Cutting","High compliance"
"Guatemala","Unrooted Plant","Medium compliance"
"Guernsey","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Guernsey","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Guernsey","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Guernsey","Rooted Cutting (including air layer)","Medium compliance"
"Guernsey","Rooted Plant (including grafted)","Medium compliance"
"Guernsey","Unrooted Cutting","Medium compliance"
"Guernsey","Unrooted Plant","Medium compliance"
"Guinea","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Guinea","Root cutting, crown, or clump, Tuberous Root","Poor compliance"
"Guinea","Rooted Cutting (including air layer)","Medium compliance"
"Guinea","Rooted Plant (including grafted)","Medium compliance"
"Guinea","Unrooted Cutting","Medium compliance"
"Haiti","Rooted Plant (including grafted)","Medium compliance"
"Haiti","Unrooted Cutting","Medium compliance"
"Honduras","Budwood/Graftwood (scion)","Medium compliance"
"Honduras","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Honduras","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Honduras","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Honduras","Rooted Cutting (including air layer)","Medium compliance"
"Honduras","Rooted Plant (including grafted)","High compliance"
"Honduras","Unrooted Cutting","Medium compliance"
"Honduras","Unrooted Plant","Medium compliance"
"Hong Kong","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Hong Kong","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Hong Kong","Rooted Cutting (including air layer)","Medium compliance"
"Hong Kong","Rooted Plant (including grafted)","Low compliance"
"Hong Kong","Unrooted Cutting","Medium compliance"
"Hong Kong","Unrooted Plant","Medium compliance"
"Hungary","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Hungary","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Hungary","Rooted Plant (including grafted)","Low compliance"
"Hungary","Unrooted Cutting","Medium compliance"
"Hungary","Unrooted Plant","Medium compliance"
"Iceland","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"India","Bulb, Corm, Rhizome, Tuberous Stem","High compliance"
"India","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"India","Root cutting, crown, or clump, Tuberous Root","High compliance"
"India","Rooted Cutting (including air layer)","Medium compliance"
"India","Rooted Plant (including grafted)","High compliance"
"India","Unrooted Cutting","Medium compliance"
"India","Unrooted Plant","High compliance"
"Indonesia","Budwood/Graftwood (scion)","Low compliance"
"Indonesia","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Indonesia","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Indonesia","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Indonesia","Rooted Cutting (including air layer)","Low compliance"
"Indonesia","Rooted Plant (including grafted)","Low compliance"
"Indonesia","Unrooted Cutting","Medium compliance"
"Indonesia","Unrooted Plant","Medium compliance"
"Ireland","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Ireland","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Ireland","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Ireland","Rooted Cutting (including air layer)","Medium compliance"
"Ireland","Rooted Plant (including grafted)","Medium compliance"
"Ireland","Unrooted Cutting","Medium compliance"
"Ireland","Unrooted Plant","Medium compliance"
